Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
14739,Veney,2016,12.05%,79.37%,0.40%,0.79%,5.01%,2.38%
14848,VanGilder,1995,97.69%,(S),0.45%,(S),0.75%,0.70%
14902,VanDeusen,1986,95.97%,(S),0.65%,(S),0.91%,2.06%
14950,Viveiros,1978,91.66%,(S),1.47%,(S),2.28%,3.79%
15090,Veasey,1955,63.84%,29.97%,0.56%,0.51%,2.92%,2.20%
15104,Valliere,1953,86.12%,6.50%,0.41%,3.69%,1.33%,1.95%
15120,Virden,1951,81.09%,11.84%,0.51%,1.38%,2.67%,2.51%
15183,VanWyk,1940,95.57%,0.77%,(S),(S),0.98%,1.86%
15183,Vinton,1940,80.36%,2.42%,(S),(S),1.65%,14.69%
15409,Varnum,1901,91.11%,4.52%,0.47%,0.42%,1.32%,2.16%
15442,Valeriano,1897,17.55%,1.27%,9.23%,(S),(S),71.48%
15456,Villano,1895,79.89%,(S),6.49%,(S),1.21%,11.82%
15483,Vogelsang,1891,93.18%,(S),1.32%,(S),1.90%,2.86%
15508,Vandemark,1887,93.00%,2.17%,(S),(S),1.80%,2.54%
15541,Vanderburg,1883,85.61%,6.21%,1.01%,2.23%,2.60%,2.34%
15571,Veltri,1878,93.66%,0.37%,1.38%,0.32%,0.85%,3.41%
15579,Vegas,1877,24.72%,3.14%,1.97%,0.43%,1.28%,68.46%
15673,VanWagner,1862,94.79%,0.75%,0.54%,0.27%,1.56%,2.09%
15700,Vandenbosch,1858,95.64%,(S),0.59%,(S),0.81%,2.64%
15712,Vasser,1856,41.00%,53.45%,(S),(S),3.45%,1.89%
15788,Vandoren,1845,92.14%,2.06%,0.87%,0.38%,2.33%,2.22%
15806,Vita,1842,82.08%,2.12%,7.44%,(S),(S),6.84%
15818,Vílchez,1841,6.41%,0.33%,0.49%,(S),(S),92.56%
15833,Vora,1838,3.16%,(S),93.14%,(S),2.67%,0.60%
15947,Vanderbilt,1822,77.88%,17.73%,(S),(S),1.76%,2.31%
15978,Vandervort,1817,92.96%,1.93%,0.61%,0.33%,1.43%,2.75%
15985,Vitela,1816,10.19%,0.55%,0.61%,(S),(S),88.22%
16012,Vavra,1813,96.53%,(S),0.61%,(S),0.94%,1.65%
16049,Villalva,1807,6.86%,(S),1.11%,(S),0.44%,91.31%
16051,Ventimiglia,1806,93.96%,(S),0.50%,(S),0.94%,3.99%
16071,Vales,1802,38.68%,22.03%,8.60%,0.39%,2.33%,27.97%
16108,Veale,1797,69.23%,20.03%,1.28%,0.89%,2.39%,6.18%
16108,Vicencio,1797,6.40%,(S),22.87%,(S),0.83%,69.56%
16120,Veres,1796,90.59%,1.17%,0.78%,0.28%,1.67%,5.51%
16136,Vallecillo,1793,4.63%,0.45%,(S),0.28%,(S),94.59%
16214,Vermeulen,1781,93.94%,1.01%,(S),(S),1.52%,2.70%
16219,Valenta,1780,93.88%,(S),0.45%,(S),1.35%,3.82%
16254,Villarruel,1775,3.66%,0.34%,(S),0.56%,(S),95.21%
16261,Verrett,1774,52.87%,34.16%,0.45%,4.85%,3.61%,4.06%
16284,VanGorder,1771,94.97%,0.73%,(S),(S),0.90%,2.60%
16420,Vanderlaan,1752,94.18%,(S),0.40%,(S),1.94%,2.85%
16437,Villacorta,1750,4.69%,0.29%,19.66%,0.00%,1.31%,74.06%
16462,Vito,1746,80.30%,(S),11.68%,(S),2.46%,4.81%
